id,result
2015_1318_1323,0
2015_1235_1412,0
2015_1124_1209,0
2015_1112_1411,1
2015_1139_1400,1
2015_1374_1417,0
2015_1279_1462,0
2015_1326_1433,1
2015_1248_1437,0
2015_1153_1345,1
2015_1217_1314,0
2015_1372_1428,0
2015_1261_1301,0
2015_1116_1459,1
2015_1214_1246,0
2015_1186_1207,0
2015_1242_1308,1
2015_1208_1277,0
2015_1320_1461,1
2015_1138_1452,0
2015_1231_1455,0
2015_1125_1438,0
2015_1257_1414,1
2015_1268_1434,1
2015_1329_1332,0
2015_1181_1352,1
2015_1172_1234,0
2015_1107_1328,0
2015_1157_1458,0
2015_1361_1385,1
2015_1211_1295,1
2015_1173_1344,1
2015_1412_1417,0
2015_1153_1246,0
2015_1112_1326,1
2015_1209_1462,0
2015_1301_1437,1
2015_1207_1428,0
2015_1116_1314,0
2015_1139_1323,0
2015_1277_1438,1
2015_1181_1361,1
2015_1242_1455,0
2015_1173_1328,0
2015_1211_1234,1
2015_1332_1458,0
2015_1268_1452,0
2015_1257_1320,1
2015_1323_1455,1
2015_1314_1458,0
2015_1246_1452,1
2015_1112_1462,1